,0,1
2006-11-06,1.7,607.1
2006-11-07,1.6,607.85
2006-11-08,2.0,608.6
2006-11-09,1.7,581.2
2006-11-10,1.4,652.6
2006-11-11,3.25,623.75
2006-11-12,5.1,594.9
2006-11-13,3.0,655.7
2006-11-14,0.9,647.2
2006-11-15,1.2,636.6
2006-11-16,1.5,629.8
2006-11-17,1.0,615.1
2006-11-18,1.95,634.493418761
2006-11-19,2.9,672.3
2006-11-20,2.15,729.8
2006-11-21,1.4,364.95
2006-11-22,2.2,0.1
2006-11-23,2.34090909091,338.3
2006-11-24,2.4,676.5
2006-11-25,2.334765625,674.319984974
2006-11-26,2.159375,668.342524418
2006-11-27,1.904296875,659.411495116
2006-11-28,1.6,648.370773854
2006-11-29,1.276953125,636.064237415
2006-11-30,0.965625,623.335762585
2006-12-01,0.696484375,611.029226146
2006-12-02,0.5,599.988504884
2006-12-03,0.355555555556,591.057475582
2006-12-04,0.244444444444,585.080015026
2006-12-05,0.2,582.9
2006-12-06,0.5,677.1
2006-12-07,0.7,571.6
2006-12-08,0.5,759.6
2006-12-09,1.2,779.545783133
2006-12-10,0.4,787.6
2006-12-11,0.1,716.1
2006-12-12,0.8,809.5
2006-12-13,0.7,824.5
2006-12-14,2.1,798.95
2006-12-15,0.6,773.4
2006-12-16,0.6,868.85
2006-12-17,0.7,964.3
2006-12-18,0.6,905.8
2006-12-19,6.0,943.0
2006-12-20,1.2,750.7
2006-12-21,1.2,598.2
2006-12-22,1.6,846.1
2006-12-23,1.1,850.581182602
2006-12-24,1.0,852.3
2006-12-25,1.1,486.5
2006-12-26,1.16607142857,745.1
2006-12-27,1.2,888.7
2006-12-28,0.7,941.3
2006-12-29,1.7,1091.0
2006-12-30,2.7,984.708008418
2006-12-31,0.6,781.6
2007-01-01,1.3,499.1
2007-01-02,1.8,751.7
2007-01-03,1.3,877.2
2007-01-04,1.1,866.9
2007-01-05,2.8,946.9
2007-01-06,1.45,1027.64335579
2007-01-07,0.1,1073.5
2007-01-08,0.5,874.0
2007-01-09,0.9,1029.2
2007-01-10,0.6,938.5
2007-01-11,1.9,1099.6
2007-01-12,1.6,1367.6
2007-01-13,0.9,1057.55
2007-01-14,2.2,747.5
2007-01-15,1.2,901.1
2007-01-16,2.0,169.5
2007-01-17,1.0,993.5
2007-01-18,3.4,1432.0
2007-01-19,1.1,1730.43273876
2007-01-20,3.8,1990.59970271
2007-01-21,3.0,2101.9
2007-01-22,1.7,1523.5
2007-01-23,1.7,1565.73929178
2007-01-24,4.0,1666.9
2007-01-25,3.11851851852,2269.5
2007-01-26,1.48148148148,2175.625
2007-01-27,0.6,1969.1
2007-01-28,5.6,1762.575
2007-01-29,1.9,1668.7
2007-01-30,1.8,2385.0
2007-01-31,2.3,2273.9
2007-02-01,1.4,1337.5
2007-02-02,1.53571428571,2113.5
2007-02-03,1.8,2131.26569276
2007-02-04,2.2,2138.1
2007-02-05,0.2,1913.2
2007-02-06,2.2,2275.0
2007-02-07,2.1,2236.5
2007-02-08,3.7,2570.3
2007-02-09,7.1,3140.1
2007-02-10,6.71111111111,2920.09259259
2007-02-11,5.98888888889,2511.50740741
2007-02-12,5.6,2291.5
2007-02-13,9.8,3122.6
2007-02-14,4.4,2907.9
2007-02-15,11.8,3152.7
2007-02-16,6.2,2261.3
2007-02-17,3.9,2542.3
2007-02-18,6.6,2823.3
2007-02-19,5.3,2155.1
2007-02-20,6.6,2688.8
2007-02-21,5.5,2150.7
2007-02-22,5.5,2406.3
2007-02-23,8.0,2683.2
2007-02-24,10.2,2678.79259259
2007-02-25,13.2,2670.60740741
2007-02-26,12.95,2666.2
2007-02-27,12.7,3130.5
2007-02-28,14.1,2580.2
2007-03-01,10.2274816176,1827.7
2007-03-02,5.0,2089.6
2007-03-03,3.2,1749.2
2007-03-04,3.4,1408.8
2007-03-05,1.5,2639.0
2007-03-06,3.3,1797.0
2007-03-07,2.82016129032,2004.99510961
2007-03-08,1.9,2414.0
2007-03-09,0.6,3061.3
2007-03-10,5.8,2925.01311912
2007-03-11,4.69716981132,2636.4
2007-03-12,3.0,1970.5
2007-03-13,2.0,1794.5
2007-03-14,5.5,1839.0
2007-03-15,6.5,1881.3
2007-03-16,2.5,2941.0
2007-03-17,5.0,2687.01457299
2007-03-18,3.0,2202.2
2007-03-19,2.4,1531.0
2007-03-20,1.6,1173.35909009
2007-03-21,5.5,997.8
2007-03-22,3.5,1228.9
2007-03-23,3.6,1846.0
2007-03-24,8.1,1774.32293374
2007-03-25,4.8,1634.3
2007-03-26,4.26432432432,1468.14283095
2007-03-27,3.8,1270.8023741
2007-03-28,2.7,1083.9
2007-03-29,6.2,934.0
2007-03-30,3.1,890.079017415
2007-03-31,3.98148148148,856.245064263
2007-04-01,5.61851851852,842.7
2007-04-02,6.5,950.4
2007-04-03,2.2,938.3
2007-04-04,2.7,892.8
2007-04-05,4.9,1255.4
2007-04-06,4.9,995.9
2007-04-07,4.9,1101.6
2007-04-08,4.4,1207.3
2007-04-09,3.9,1195.4
2007-04-10,3.9,1156.9
2007-04-11,3.84814814815,786.4
2007-04-12,3.75185185185,879.8
2007-04-13,3.7,1143.3
2007-04-14,6.3,1090.3954342
2007-04-15,2.6,986.8
2007-04-16,3.5,826.0
2007-04-17,3.5,1415.2
2007-04-18,3.28791055206,2268.0
2007-04-19,2.8535988819,980.3
2007-04-20,2.5,844.9
2007-04-21,2.29693396226,800.266173794
2007-04-22,2.2,765.444198008
2007-04-23,2.5,751.4
2007-04-24,0.3,845.6
2007-04-25,2.4,862.0
2007-04-26,2.61385135135,841.3
2007-04-27,2.7,875.6
2007-04-28,1.9,777.55
2007-04-29,3.4,679.5
2007-04-30,1.5,861.0
2007-05-01,1.6125,787.9
2007-05-02,1.8,714.8
2007-05-03,1.92400990099,1006.1
2007-05-04,2.1,1485.2
2007-05-05,4.0,1415.50074922
2007-05-06,5.9,1260.8
2007-05-07,2.0,783.3
2007-05-08,3.7,1209.6
2007-05-09,3.2,835.2
2007-05-10,2.2,765.897704205
2007-05-11,0.3,736.7
2007-05-12,2.5,958.6
2007-05-13,6.1,1180.5
2007-05-14,1.6,1004.7
2007-05-15,0.9,1013.362386
2007-05-16,1.3,1035.58032756
2007-05-17,0.9,1065.7
2007-05-18,2.4,1240.7
2007-05-19,2.5,1228.91007201
2007-05-20,2.8,1199.0
2007-05-21,4.0,730.3
2007-05-22,3.3,621.8
2007-05-23,2.1,631.4
2007-05-24,1.5,650.1
2007-05-25,3.4,899.4
2007-05-26,5.3,847.794173203
2007-05-27,3.41674311927,743.699457517
2007-05-28,1.1,663.2
2007-05-29,0.6,636.6
2007-05-30,0.9,725.4
2007-05-31,1.03931623932,821.711875441
2007-06-01,1.15299145299,925.771667059
2007-06-02,1.2,1009.09562515
2007-06-03,1.2,1043.2
2007-06-04,1.05869565217,831.4
2007-06-05,0.8,595.4
2007-06-06,0.5,618.160064518
2007-06-07,1.0,672.0
2007-06-08,0.5,952.9
2007-06-09,0.1,952.817365045
2007-06-10,2.4,952.6
2007-06-11,1.6,892.7
2007-06-12,0.8,644.0
2007-06-13,1.1,443.1
2007-06-14,1.2,532.19375
2007-06-15,0.5,728.2
2007-06-16,1.85,924.20625
2007-06-17,3.2,1013.3
2007-06-18,0.3,907.5
2007-06-19,5.3,966.1
2007-06-20,0.8,476.4
2007-06-21,0.1,467.3
2007-06-22,0.271875,476.265078296
2007-06-23,0.65,499.652378815
2007-06-24,1.028125,532.2
2007-06-25,1.2,851.5
2007-06-26,0.5,825.6
2007-06-27,1.1,780.656853762
2007-06-28,1.7,727.862997193
2007-06-29,1.35,685.2
2007-06-30,1.0,663.767082898
2007-07-01,1.5,639.1
2007-07-02,0.3,433.7
2007-07-03,0.1,563.196561455
2007-07-04,0.3,784.4
2007-07-05,0.5,979.0
2007-07-06,0.4,1151.7
2007-07-07,3.3,1025.84302112
2007-07-08,1.4,773.519375574
2007-07-09,0.3,582.6
2007-07-10,0.7,524.5
2007-07-11,1.1,495.2
2007-07-12,0.4,495.2
2007-07-13,0.19237804878,707.1
2007-07-14,0.1,663.381638582
2007-07-15,1.3,599.5
2007-07-16,0.1,557.168361418
2007-07-17,0.2578125,535.0
2007-07-18,0.5,618.4
2007-07-19,0.688671875,660.405980066
2007-07-20,0.884375,680.8
2007-07-21,1.037890625,662.433573487
2007-07-22,1.1,628.4
2007-07-23,0.1,586.9
2007-07-24,0.3,613.8
2007-07-25,0.5,497.8
2007-07-26,0.4,464.5
2007-07-27,0.430147058824,633.4
2007-07-28,0.5,602.7
2007-07-29,0.8,572.0
2007-07-30,1.0,662.1
2007-07-31,1.36136363636,686.1
2007-08-01,1.6,666.7
2007-08-02,1.52644513673,798.5
2007-08-03,1.34177916234,839.565743956
2007-08-04,1.1,871.4050942
2007-08-05,0.2,884.2
2007-08-06,0.259090909091,801.9
2007-08-07,0.4,663.4
2007-08-08,1.2,570.3
2007-08-09,0.2,764.0
2007-08-10,0.7,706.34375
2007-08-11,0.7,579.5
2007-08-12,0.6376,452.65625
2007-08-13,0.4888,395.0
2007-08-14,0.3112,979.0
2007-08-15,0.1624,813.5
2007-08-16,0.1,648.0
2007-08-17,0.5,800.2
2007-08-18,0.1,676.75
2007-08-19,0.8,553.3
2007-08-20,0.2,596.9
2007-08-21,0.2,751.9
2007-08-22,0.977777777778,526.7
2007-08-23,2.42222222222,301.5
2007-08-24,3.2,457.2
2007-08-25,0.8,556.376770804
2007-08-26,2.1,606.9
2007-08-27,0.1,480.8
2007-08-28,0.13125,410.3
2007-08-29,0.208333333333,427.1
2007-08-30,0.30625,386.2
2007-08-31,0.4,514.2
2007-09-01,0.5,639.548837209
2007-09-02,0.3,710.2
2007-09-03,0.3,598.3
2007-09-04,0.3,539.064574701
2007-09-05,0.3,491.9
2007-09-06,0.42962962963,453.8
2007-09-07,0.67037037037,656.3
2007-09-08,0.8,629.898279209
2007-09-09,0.5,578.0
2007-09-10,0.2,496.0
2007-09-11,0.5,439.1
2007-09-12,0.2,328.5
2007-09-13,0.3,415.1
2007-09-14,0.3,466.6
2007-09-15,0.2,490.802529626
2007-09-16,0.2,502.4
2007-09-17,0.2,445.1
2007-09-18,0.5,367.6
2007-09-19,0.569852941176,253.9
2007-09-20,0.6,252.9
2007-09-21,0.4,493.4
2007-09-22,0.2,591.474903543
2007-09-23,0.3,637.3
2007-09-24,0.366071428571,379.8
2007-09-25,0.4,320.1
2007-09-26,0.3,517.25
2007-09-27,0.2,714.4
2007-09-28,0.6,679.866666667
2007-09-29,0.1,615.733333333
2007-09-30,0.9,581.2
2007-10-01,0.1,607.9
2007-10-02,0.7,612.100664381
2007-10-03,0.596296296296,616.7
2007-10-04,0.403703703704,835.9
2007-10-05,0.3,802.9
2007-10-06,0.3,795.524465026
2007-10-07,0.5,787.5
2007-10-08,0.7,696.9
2007-10-09,0.1,857.7
2007-10-10,0.183333333333,849.166127721
2007-10-11,0.3,828.565588775
2007-10-12,0.366666666667,803.4
2007-10-13,0.4,768.605030507
2007-10-14,0.4,715.5
2007-10-15,0.4,592.1
2007-10-16,0.35,622.824432681
2007-10-17,0.3,699.431820483
2007-10-18,0.5,798.573298043
2007-10-19,0.422222222222,896.9
2007-10-20,0.277777777778,1036.28408976
2007-10-21,0.2,1130.6
2007-10-22,0.3,429.7
2007-10-23,0.2,706.2
2007-10-24,0.1,764.490124566
2007-10-25,0.2,818.6
2007-10-26,0.2,975.7
2007-10-27,0.2,1105.63628257
2007-10-28,0.2,1175.9
2007-10-29,0.2,790.3
2007-10-30,0.2,877.7
2007-10-31,0.2,901.9
2007-11-01,0.2,858.1
2007-11-02,0.3,1013.0
2007-11-03,0.2,1002.9283241
2007-11-04,0.1,984.0
2007-11-05,0.3,959.5
2007-11-06,0.321642238109,945.3
2007-11-07,0.342190183314,752.3
2007-11-08,0.360829106594,827.8
2007-11-09,0.376744278925,816.034375
2007-11-10,0.389120971285,790.15
2007-11-11,0.397144454651,764.265625
2007-11-12,0.4,752.5
2007-11-13,0.2,1079.8
2007-11-14,0.13125,1113.1
2007-11-15,0.1,1324.7
2007-11-16,0.4,1632.2
2007-11-17,0.585846728972,1843.52779129
2007-11-18,0.773577570093,1953.0
2007-11-19,0.938385046729,1531.6
2007-11-20,1.05546168224,1743.2
2007-11-21,1.1,1300.4
2007-11-22,0.990732758621,1184.6
2007-11-23,0.8,1135.1
2007-11-24,0.598976293103,921.683050202
2007-11-25,0.368534482759,750.4
2007-11-26,0.178825431034,852.740688682
2007-11-27,0.1,998.7
2007-11-28,0.1,1062.3
2007-11-29,0.303571428571,988.5
2007-11-30,0.7,1243.9
2007-12-01,1.3,1234.8252
2007-12-02,1.05,1210.1936
2007-12-03,0.8,1173.8944
2007-12-04,0.8,1129.8168
2007-12-05,0.8,1081.85
2007-12-06,0.8,1033.8832
2007-12-07,0.8,989.8056
2007-12-08,0.8,953.5064
2007-12-09,0.680681818182,928.8748
2007-12-10,0.5,919.8
2007-12-11,0.4,919.8
2007-12-12,0.5,790.9
2007-12-13,0.6,877.353533312
2007-12-14,0.4,998.0
2007-12-15,0.4,1066.14646669
2007-12-16,0.55,1100.1
2007-12-17,0.7,962.5
2007-12-18,0.7,1091.6
2007-12-19,0.7,1009.0
2007-12-20,0.6,941.377732614
2007-12-21,0.3125,904.9
2007-12-22,0.1,1057.54295536
2007-12-23,0.6,1220.2
2007-12-24,0.5,1239.96849225
2007-12-25,0.561206896552,1258.944655
2007-12-26,0.7,1276.7190529
2007-12-27,1.2,1292.88225063
2007-12-28,1.8,1307.02481285
2007-12-29,2.13967391304,1318.73730423
2007-12-30,2.46304347826,1327.61028943
2007-12-31,2.70489130435,1333.23433314
2008-01-01,2.8,1335.2
2008-01-02,2.0,1328.52901266
2008-01-03,1.85138888889,1310.98303799
2008-01-04,1.71111111111,1286.26255699
2008-01-05,1.5875,1258.06805066
2008-01-06,1.48888888889,1230.1
2008-01-07,1.42361111111,1184.3
2008-01-08,1.4,1266.1
2008-01-09,1.9,1330.06627732
2008-01-10,1.9,1388.89816214
2008-01-11,1.9,1443.7
